id,first_name,last_name,country,number
281,Rudolf,Glaeser,GER,
282,Frank,Perris,GBR,
283,Moto,Kitano,JPN,
284,Shimazaki,Sadao,JPN,
285,Jan,Huberts,NED,
286,Kuninitsu,Takahashi,JPN,
287,J.,Sato,JPN,
288,Hugh,Anderson,NZE,
289,Jorge,Kissling,ARG,
290,Ron,Langston,GBR,
291,Juan,Salatino,ARG,
292,Mike,Duff,CAN,
293,Antonie,Paba,FRA,
294,Phil,Read,GBR,
295,Gyula,Marsovszky,SWI,
296,Trevor,Farnsworth,NZE,
297,S.,Perkins,RSA,
298,J.T.,Findlay,GBR,
299,Eduardo,Salatino,ARG,
300,Fritz,Messerli,SWI,
301,Peter,Chatterton,GBR,
302,G.,Costa,URU,
303,Tony,Godfrey,GBR,
304,John,Lothar,GER,
305,Roland,Föll,GER,
306,Anssi,Resko,FIN,
307,Tom,Thorp,IRL,
308,Peter,Pawson,NZE,
309,Gustav,Havel,TCH,
310,Hans,Fischer,GER,
311,Silvio,Grassetti,ITA,
312,Richard,Ingram,GBR,
313,Sadao,Shimazaki,JPN,
314,Rex,Avery,GBR,
315,Yoshikazu,Sunako,JPN,
316,Pierre,Vervroegen,BEL,
317,Bohumil,Stasa,TCH,
318,Lazlo,Szabo,HUN,
319,Ulf,Svensson,SWE,
320,Benedicto,Caldarella,ARG,
321,Hugo,Pochettino,ARG,
322,Ellis,Boyce,GBR,
323,Sven,Gunnarsson,SWE,
324,Paolo,Gamberini,ARG,
325,H.,Karlsson,SWE,
326,S.,Pomesano,ARG,
327,F.,Soler,ARG,
328,Brian,Setchell,GBR,
329,Ray,Spence,GBR,
330,Dan,Shorey,GBR,
331,Hans-Georg,Anscheidt,GER,
332,Mitsuo,Itoh,JPN,
333,Michio,Ichino,JPN,
334,Cas,Swart,NED,
335,Stanislav,Malina,TCH,
336,Seichi,Suzuki,JPN,
337,Wolfgang,Gedlich,?,
338,Cees,Van Dongen,NED,
339,Giuseppe,Visenzi,ITA,
340,Campbell,Donaghy,IRL,
341,Stuart,Graham,GBR,
342,Nikolaj,Sevastyanov,RUS,
343,Klaus,Enderlein,GER,
344,Isao,Morishita,JPN,
345,T.,Lego,?,
346,Jukka,Petaja,FIN,
347,Umberto,Massetti,ARG,
348,Rudolph,Kaiser,ARG,
349,Jorge,Terengo,ARG,
350,Carlo,Marfetan,URU,
351,M.,Dietrich,ARG,
352,Limberg,Moreira,URU,
353,Marzilio,Chizzini,ARG,
354,Pedro,Rosenthal,ARG,
355,Bill,Smith,GBR,
356,Victorio,Minguzzi,ARG,
357,F.,Villavelran,ARG,
